Pollutant:, NO2
Units:, ppb
Data is hour ending local standard time.
Note:,Zeros are valid. -999 denotes no data available.

Pollutant,NAPSID,City,P/T,Latitude,Longitude,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
NO2,030115,Halifax,NS,44.62611,-63.51944,19800101,13.0,12.0,15.0,14.0,8.0,6.0,9.0,7.0,7.0,5.0,5.0,5.0,7.0,5.0,7.0,11.0,12.0,13.0,12.0,13.0,15.0,16.0,20.0,17.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800102,13.0,9.0,8.0,7.0,12.0,21.0,22.0,23.0,37.0,40.0,40.0,33.0,36.0,14.0,3.0,6.0,15.0,10.0,11.0,12.0,9.0,6.0,7.0,5.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800103,5.0,4.0,4.0,4.0,3.0,4.0,5.0,7.0,6.0,5.0,5.0,5.0,7.0,4.0,6.0,8.0,6.0,7.0,8.0,8.0,13.0,14.0,7.0,4.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800104,3.0,3.0,2.0,3.0,2.0,3.0,4.0,6.0,6.0,4.0,3.0,3.0,3.0,4.0,5.0,8.0,14.0,12.0,13.0,11.0,11.0,12.0,11.0,9.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800105,12.0,15.0,13.0,9.0,7.0,11.0,9.0,7.0,4.0,6.0,6.0,6.0,3.0,3.0,7.0,5.0,11.0,4.0,5.0,8.0,2.0,1.0,1.0,7.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800106,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,7.0,8.0,8.0,14.0,22.0,27.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800107,24.0,12.0,9.0,7.0,8.0,11.0,20.0,30.0,26.0,13.0,14.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NO2,030115,Halifax,NS,44.62611,-63.51944,19800108,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NO2,030115,Halifax,NS,44.62611,-63.51944,19800109,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NO2,030115,Halifax,NS,44.62611,-63.51944,19800110,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NO2,030115,Halifax,NS,44.62611,-63.51944,19800111,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NO2,030115,Halifax,NS,44.62611,-63.51944,19800112,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NO2,030115,Halifax,NS,44.62611,-63.51944,19800113,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NO2,030115,Halifax,NS,44.62611,-63.51944,19800114,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NO2,030115,Halifax,NS,44.62611,-63.51944,19800115,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NO2,030115,Halifax,NS,44.62611,-63.51944,19800116,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NO2,030115,Halifax,NS,44.62611,-63.51944,19800117,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NO2,030115,Halifax,NS,44.62611,-63.51944,19800118,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NO2,030115,Halifax,NS,44.62611,-63.51944,19800119,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NO2,030115,Halifax,NS,44.62611,-63.51944,19800120,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NO2,030115,Halifax,NS,44.62611,-63.51944,19800121,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NO2,030115,Halifax,NS,44.62611,-63.51944,19800122,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NO2,030115,Halifax,NS,44.62611,-63.51944,19800123,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NO2,030115,Halifax,NS,44.62611,-63.51944,19800124,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NO2,030115,Halifax,NS,44.62611,-63.51944,19800125,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NO2,030115,Halifax,NS,44.62611,-63.51944,19800126,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NO2,030115,Halifax,NS,44.62611,-63.51944,19800127,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NO2,030115,Halifax,NS,44.62611,-63.51944,19800128,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NO2,030115,Halifax,NS,44.62611,-63.51944,19800129,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NO2,030115,Halifax,NS,44.62611,-63.51944,19800130,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NO2,030115,Halifax,NS,44.62611,-63.51944,19800131,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NO2,030115,Halifax,NS,44.62611,-63.51944,19800201,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5.0,6.0,8.0,12.0,16.0,17.0,15.0,21.0,9.0,15.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800202,12.0,15.0,13.0,12.0,12.0,9.0,7.0,4.0,2.0,3.0,2.0,2.0,4.0,5.0,4.0,7.0,8.0,9.0,14.0,8.0,11.0,3.0,2.0,2.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800203,5.0,9.0,6.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,5.0,3.0,1.0,4.0,3.0,6.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800204,5.0,4.0,4.0,3.0,1.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0,0.0,1.0,1.0,3.0,6.0,5.0,12.0,16.0,24.0,18.0,17.0,15.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800205,14.0,22.0,23.0,13.0,9.0,10.0,8.0,15.0,11.0,10.0,7.0,4.0,4.0,3.0,4.0,5.0,6.0,10.0,18.0,20.0,22.0,15.0,9.0,9.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800206,7.0,9.0,7.0,7.0,12.0,8.0,10.0,17.0,23.0,16.0,10.0,4.0,2.0,3.0,4.0,5.0,8.0,7.0,7.0,7.0,8.0,9.0,8.0,10.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800207,4.0,4.0,3.0,4.0,4.0,4.0,5.0,12.0,11.0,5.0,3.0,5.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,6.0,8.0,5.0,6.0,9.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800208,4.0,5.0,7.0,11.0,5.0,6.0,2.0,4.0,3.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,4.0,5.0,4.0,3.0,3.0,5.0,3.0,3.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800209,3.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,16.0,13.0,12.0,11.0,9.0,8.0,5.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800210,5.0,7.0,5.0,17.0,16.0,14.0,12.0,13.0,7.0,4.0,3.0,5.0,5.0,4.0,2.0,3.0,4.0,6.0,8.0,10.0,4.0,5.0,3.0,3.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800211,2.0,2.0,1.0,1.0,8.0,12.0,14.0,20.0,15.0,10.0,5.0,4.0,6.0,7.0,6.0,7.0,8.0,12.0,19.0,14.0,22.0,7.0,4.0,9.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800212,15.0,13.0,10.0,17.0,25.0,32.0,38.0,42.0,46.0,54.0,20.0,7.0,5.0,3.0,3.0,7.0,8.0,10.0,16.0,24.0,13.0,11.0,18.0,21.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800213,21.0,20.0,22.0,18.0,21.0,13.0,13.0,21.0,23.0,8.0,6.0,2.0,6.0,3.0,4.0,6.0,5.0,13.0,6.0,2.0,2.0,7.0,18.0,10.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800214,23.0,12.0,7.0,5.0,18.0,13.0,9.0,14.0,11.0,5.0,4.0,3.0,5.0,5.0,6.0,3.0,6.0,9.0,10.0,7.0,8.0,11.0,9.0,20.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800215,13.0,8.0,14.0,12.0,11.0,8.0,7.0,11.0,16.0,9.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,6.0,14.0,16.0,15.0,8.0,5.0,3.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800216,3.0,3.0,4.0,3.0,1.0,1.0,0.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800217,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0,7.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800218,4.0,3.0,4.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,3.0,3.0,5.0,5.0,4.0,5.0,8.0,10.0,7.0,6.0,5.0,4.0,3.0,3.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800220,2.0,3.0,4.0,7.0,5.0,4.0,18.0,26.0,23.0,17.0,13.0,10.0,7.0,-999,7.0,7.0,8.0,7.0,12.0,5.0,8.0,6.0,8.0,9.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800221,9.0,9.0,7.0,7.0,7.0,7.0,14.0,28.0,23.0,16.0,18.0,20.0,11.0,15.0,13.0,18.0,19.0,22.0,18.0,6.0,3.0,4.0,4.0,3.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800222,3.0,3.0,3.0,2.0,4.0,4.0,6.0,10.0,9.0,9.0,10.0,13.0,9.0,12.0,6.0,6.0,5.0,3.0,4.0,5.0,3.0,2.0,3.0,2.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800223,2.0,3.0,3.0,2.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,7.0,12.0,6.0,6.0,5.0,5.0,6.0,5.0,4.0,4.0,4.0,5.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800224,5.0,3.0,4.0,4.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800225,3.0,4.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,-999,3.0,4.0,4.0,2.0,8.0,15.0,26.0,39.0,41.0,39.0,32.0,20.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800226,9.0,8.0,9.0,7.0,6.0,10.0,8.0,11.0,8.0,7.0,5.0,5.0,3.0,4.0,3.0,5.0,6.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800227,3.0,3.0,5.0,6.0,7.0,8.0,11.0,13.0,11.0,7.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,-999,-999,-999,-999,-999,-999,-999
NO2,030115,Halifax,NS,44.62611,-63.51944,19800228,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NO2,030115,Halifax,NS,44.62611,-63.51944,19800229,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NO2,030115,Halifax,NS,44.62611,-63.51944,19800301,11.0,8.0,11.0,10.0,8.0,7.0,8.0,6.0,5.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,5.0,8.0,10.0,8.0,11.0,6.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800302,9.0,10.0,11.0,10.0,6.0,7.0,5.0,5.0,6.0,7.0,6.0,5.0,9.0,8.0,9.0,10.0,7.0,9.0,11.0,10.0,10.0,11.0,11.0,12.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800303,10.0,9.0,8.0,7.0,6.0,7.0,8.0,14.0,12.0,8.0,9.0,7.0,5.0,6.0,9.0,8.0,11.0,9.0,10.0,8.0,8.0,7.0,8.0,6.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800304,5.0,5.0,6.0,5.0,6.0,7.0,7.0,14.0,12.0,6.0,5.0,4.0,6.0,9.0,11.0,13.0,9.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800305,7.0,5.0,4.0,4.0,6.0,8.0,15.0,30.0,37.0,9.0,7.0,5.0,3.0,4.0,5.0,5.0,4.0,3.0,6.0,7.0,6.0,8.0,7.0,5.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800306,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,6.0,14.0,10.0,10.0,12.0,16.0,11.0,10.0,9.0,10.0,9.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800307,8.0,8.0,9.0,10.0,9.0,12.0,21.0,23.0,5.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800308,7.0,13.0,12.0,13.0,15.0,16.0,14.0,16.0,17.0,9.0,6.0,7.0,9.0,8.0,7.0,7.0,5.0,5.0,4.0,5.0,4.0,5.0,8.0,9.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800309,21.0,25.0,25.0,15.0,5.0,2.0,3.0,3.0,6.0,8.0,14.0,9.0,5.0,6.0,7.0,8.0,10.0,8.0,6.0,7.0,6.0,5.0,7.0,5.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800310,9.0,7.0,8.0,18.0,14.0,9.0,11.0,19.0,22.0,11.0,5.0,1.0,4.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800311,2.0,2.0,7.0,8.0,4.0,5.0,4.0,6.0,3.0,4.0,3.0,-999,2.0,3.0,3.0,5.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800312,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,3.0,5.0,6.0,4.0,4.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800313,2.0,3.0,6.0,6.0,5.0,8.0,5.0,5.0,6.0,5.0,3.0,5.0,3.0,6.0,6.0,5.0,4.0,5.0,11.0,12.0,8.0,6.0,4.0,3.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800314,4.0,5.0,6.0,7.0,5.0,6.0,7.0,4.0,6.0,8.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800315,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,4.0,6.0,4.0,2.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800316,6.0,5.0,3.0,6.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,5.0,4.0,4.0,7.0,4.0,8.0,13.0,12.0,12.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800317,7.0,10.0,12.0,7.0,9.0,16.0,4.0,7.0,15.0,8.0,13.0,7.0,8.0,13.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,3.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800318,3.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,2.0,3.0,4.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800319,6.0,7.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,1.0,2.0,27.0,31.0,3.0,5.0,8.0,10.0,11.0,9.0,9.0,8.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800320,9.0,7.0,5.0,6.0,7.0,6.0,9.0,10.0,4.0,5.0,5.0,7.0,7.0,10.0,7.0,5.0,6.0,8.0,9.0,32.0,35.0,29.0,7.0,11.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800321,13.0,11.0,6.0,5.0,4.0,5.0,8.0,8.0,6.0,5.0,4.0,4.0,2.0,5.0,3.0,5.0,5.0,6.0,6.0,8.0,4.0,3.0,3.0,3.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800322,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,5.0,7.0,6.0,4.0,7.0,4.0,5.0,3.0,4.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800323,4.0,4.0,2.0,2.0,2.0,0.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,4.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800324,4.0,4.0,3.0,4.0,4.0,5.0,6.0,6.0,5.0,7.0,8.0,6.0,6.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,5.0,4.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800325,5.0,5.0,6.0,4.0,6.0,5.0,5.0,4.0,5.0,7.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,8.0,11.0,12.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800326,7.0,9.0,11.0,7.0,6.0,6.0,7.0,5.0,7.0,5.0,6.0,7.0,7.0,8.0,7.0,6.0,5.0,7.0,6.0,3.0,2.0,4.0,5.0,7.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800327,6.0,6.0,7.0,6.0,8.0,3.0,3.0,5.0,5.0,7.0,6.0,12.0,12.0,11.0,12.0,9.0,6.0,5.0,4.0,4.0,4.0,6.0,9.0,7.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800328,7.0,5.0,4.0,5.0,4.0,6.0,4.0,6.0,7.0,11.0,10.0,4.0,6.0,6.0,7.0,6.0,7.0,12.0,5.0,3.0,5.0,6.0,3.0,2.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800329,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800330,2.0,2.0,2.0,2.0,4.0,4.0,4.0,6.0,5.0,6.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,7.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800331,4.0,5.0,6.0,4.0,4.0,5.0,8.0,9.0,8.0,10.0,8.0,9.0,17.0,13.0,9.0,6.0,9.0,11.0,8.0,7.0,10.0,13.0,16.0,8.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800401,6.0,3.0,4.0,6.0,4.0,3.0,4.0,6.0,6.0,11.0,11.0,17.0,26.0,36.0,36.0,34.0,32.0,29.0,18.0,7.0,6.0,10.0,12.0,11.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800402,6.0,5.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,10.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800403,11.0,8.0,5.0,6.0,5.0,5.0,4.0,7.0,11.0,15.0,20.0,11.0,9.0,20.0,21.0,13.0,13.0,11.0,9.0,6.0,3.0,2.0,3.0,2.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800404,1.0,1.0,3.0,2.0,3.0,5.0,10.0,7.0,4.0,3.0,6.0,4.0,3.0,4.0,3.0,2.0,1.0,1.0,2.0,-999,-999,-999,-999,-999
NO2,030115,Halifax,NS,44.62611,-63.51944,19800405,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0,0.0,0.0,1.0,3.0,4.0,5.0,4.0,10.0,5.0,1.0,0.0,1.0,0.0,0.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800406,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,4.0,2.0,4.0,8.0,18.0,16.0,6.0,4.0,2.0,2.0,0.0,2.0,5.0,5.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19800407,7.0,3.0,2.0,2.0,3.0,3.0,1.0,0.0,0.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,1.0,4.0,6.0,3.0,3.0,1.0,1.0
