Pollutant:, O3
Units:, ppb
Data is hour ending local standard time.
Note:,Zeros are valid. -999 denotes no data available.

Pollutant,NAPSID,City,P/T,Latitude,Longitude,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
O3,030115,Halifax,NS,44.62611,-63.51944,19840101,19,19,19,17,15,13,15,15,-999,-999,15,15,15,15,14,15,14,14,14,13,13,15,13,12
O3,030115,Halifax,NS,44.62611,-63.51944,19840102,15,15,15,13,14,14,14,14,14,13,14,16,16,15,15,13,12,12,13,13,13,13,11,8
O3,030115,Halifax,NS,44.62611,-63.51944,19840103,12,14,13,14,12,13,13,11,9,10,11,13,15,16,16,15,12,7,7,7,10,10,11,13
O3,030115,Halifax,NS,44.62611,-63.51944,19840104,20,21,21,22,21,23,22,22,22,22,22,22,22,21,21,21,21,20,21,21,21,21,21,21
O3,030115,Halifax,NS,44.62611,-63.51944,19840105,16,16,17,17,16,16,16,16,15,14,15,15,14,14,13,12,12,11,7,9,8,12,11,12
O3,030115,Halifax,NS,44.62611,-63.51944,19840106,11,12,14,14,13,12,8,5,3,5,3,4,7,12,13,-999,20,3,5,7,5,4,7,7
O3,030115,Halifax,NS,44.62611,-63.51944,19840107,1,1,3,6,5,8,9,7,5,9,12,15,17,17,18,16,14,12,11,9,11,13,13,11
O3,030115,Halifax,NS,44.62611,-63.51944,19840108,13,18,15,11,9,9,11,10,10,9,9,8,6,5,5,-999,5,8,8,9,-999,-999,10,11
O3,030115,Halifax,NS,44.62611,-63.51944,19840109,-999,-999,-999,12,13,11,11,9,6,9,10,12,14,13,13,14,15,15,13,15,15,14,14,14
O3,030115,Halifax,NS,44.62611,-63.51944,19840110,14,14,14,12,12,12,10,7,5,7,11,13,11,11,11,12,12,11,13,10,13,9,15,17
O3,030115,Halifax,NS,44.62611,-63.51944,19840111,18,19,20,20,20,19,15,10,11,13,13,14,15,15,15,15,15,15,15,15,15,15,15,15
O3,030115,Halifax,NS,44.62611,-63.51944,19840112,15,15,14,14,15,14,14,12,11,14,14,15,15,15,-999,-999,12,13,12,11,13,14,14,14
O3,030115,Halifax,NS,44.62611,-63.51944,19840113,14,15,15,15,14,14,13,11,10,13,13,13,15,15,14,13,12,11,12,13,14,14,15,15
O3,030115,Halifax,NS,44.62611,-63.51944,19840114,15,15,15,15,15,15,14,13,13,13,13,12,13,13,13,14,13,12,11,11,10,12,12,12
O3,030115,Halifax,NS,44.62611,-63.51944,19840115,11,11,12,12,11,13,13,12,11,11,13,14,15,13,14,15,13,11,10,11,13,13,12,12
O3,030115,Halifax,NS,44.62611,-63.51944,19840116,18,19,19,19,18,19,19,16,15,18,19,19,19,19,19,18,17,19,20,21,21,21,21,22
O3,030115,Halifax,NS,44.62611,-63.51944,19840117,18,17,16,18,16,15,15,15,12,8,13,13,16,15,0,18,15,17,16,15,13,13,11,8
O3,030115,Halifax,NS,44.62611,-63.51944,19840118,12,11,10,8,10,12,12,7,1,3,6,9,11,13,14,13,10,11,11,11,13,15,15,13
O3,030115,Halifax,NS,44.62611,-63.51944,19840119,15,16,16,18,17,18,16,14,13,13,14,14,14,13,13,13,9,10,10,8,7,5,7,6
O3,030115,Halifax,NS,44.62611,-63.51944,19840120,5,4,1,5,7,6,7,12,10,15,17,16,17,17,17,16,16,13,12,13,14,13,11,10
O3,030115,Halifax,NS,44.62611,-63.51944,19840121,11,8,12,11,9,11,8,8,7,8,12,14,14,16,16,12,12,10,8,8,8,7,7,4
O3,030115,Halifax,NS,44.62611,-63.51944,19840122,9,11,10,11,10,12,12,12,9,10,11,11,17,18,18,18,18,17,17,8,11,12,15,14
O3,030115,Halifax,NS,44.62611,-63.51944,19840123,6,9,12,8,7,10,10,6,4,8,11,11,13,10,11,8,6,1,1,1,1,1,1,2
O3,030115,Halifax,NS,44.62611,-63.51944,19840124,1,1,1,1,1,1,1,1,4,6,7,6,16,17,-999,-999,19,19,19,20,21,21,21,22
O3,030115,Halifax,NS,44.62611,-63.51944,19840125,22,21,23,22,22,22,22,22,22,21,21,21,21,20,15,16,16,16,20,20,18,16,14,14
O3,030115,Halifax,NS,44.62611,-63.51944,19840126,15,13,13,15,17,18,18,17,17,18,18,17,17,17,15,15,15,15,14,14,14,14,14,13
O3,030115,Halifax,NS,44.62611,-63.51944,19840127,13,13,13,13,12,13,12,10,7,9,14,15,16,17,18,19,18,15,17,19,21,22,22,23
O3,030115,Halifax,NS,44.62611,-63.51944,19840128,21,19,21,18,18,19,15,10,10,13,13,13,14,15,17,17,16,16,16,15,13,13,11,11
O3,030115,Halifax,NS,44.62611,-63.51944,19840129,14,15,16,15,14,16,15,15,13,14,13,13,15,15,16,15,14,15,16,16,14,15,14,14
O3,030115,Halifax,NS,44.62611,-63.51944,19840130,14,14,14,13,11,6,7,3,4,10,11,11,11,12,-999,15,16,15,12,3,6,14,13,17
O3,030115,Halifax,NS,44.62611,-63.51944,19840131,17,17,16,16,17,17,17,16,15,16,16,16,17,17,18,18,18,20,23,20,16,16,16,17
O3,030115,Halifax,NS,44.62611,-63.51944,19840201,17,17,17,16,14,10,11,11,12,12,13,12,13,12,12,13,13,13,11,13,14,14,13,11
O3,030115,Halifax,NS,44.62611,-63.51944,19840202,10,10,7,8,8,7,10,13,13,14,14,14,17,18,19,17,15,14,8,9,9,10,8,7
O3,030115,Halifax,NS,44.62611,-63.51944,19840203,7,10,10,0,0,0,0,5,10,17,18,18,19,19,-999,18,19,19,18,18,18,18,17,18
O3,030115,Halifax,NS,44.62611,-63.51944,19840204,18,18,18,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,21,21,-999,21,-999,-999,-999,-999,-999,-999,-999
O3,030115,Halifax,NS,44.62611,-63.51944,19840205,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
O3,030115,Halifax,NS,44.62611,-63.51944,19840206,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
O3,030115,Halifax,NS,44.62611,-63.51944,19840207,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
O3,030115,Halifax,NS,44.62611,-63.51944,19840208,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
O3,030115,Halifax,NS,44.62611,-63.51944,19840209,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
O3,030115,Halifax,NS,44.62611,-63.51944,19840210,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
O3,030115,Halifax,NS,44.62611,-63.51944,19840211,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
O3,030115,Halifax,NS,44.62611,-63.51944,19840212,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
O3,030115,Halifax,NS,44.62611,-63.51944,19840213,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
O3,030115,Halifax,NS,44.62611,-63.51944,19840214,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
O3,030115,Halifax,NS,44.62611,-63.51944,19840215,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
O3,030115,Halifax,NS,44.62611,-63.51944,19840216,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
O3,030115,Halifax,NS,44.62611,-63.51944,19840217,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,12,11,11,10,9,8,9,10,8
O3,030115,Halifax,NS,44.62611,-63.51944,19840218,8,8,8,7,8,9,9,8,8,7,11,12,14,12,11,11,11,11,11,9,7,10,10,10
O3,030115,Halifax,NS,44.62611,-63.51944,19840219,11,12,12,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15
O3,030115,Halifax,NS,44.62611,-63.51944,19840220,16,18,18,18,18,19,18,18,18,19,19,19,19,19,18,18,15,15,14,15,16,15,14,10
O3,030115,Halifax,NS,44.62611,-63.51944,19840221,11,10,9,11,12,11,11,10,7,6,4,5,5,7,7,7,6,7,9,7,6,4,10,9
O3,030115,Halifax,NS,44.62611,-63.51944,19840222,9,10,14,12,12,13,14,14,12,11,11,12,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
O3,030115,Halifax,NS,44.62611,-63.51944,19840223,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
O3,030115,Halifax,NS,44.62611,-63.51944,19840224,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
O3,030115,Halifax,NS,44.62611,-63.51944,19840225,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
O3,030115,Halifax,NS,44.62611,-63.51944,19840226,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
O3,030115,Halifax,NS,44.62611,-63.51944,19840227,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
O3,030115,Halifax,NS,44.62611,-63.51944,19840228,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,14,14,13,13,14,15,16,15,16,16
O3,030115,Halifax,NS,44.62611,-63.51944,19840229,16,16,16,17,16,16,16,15,13,11,16,16,17,16,17,17,18,21,20,19,16,14,13,13
O3,030115,Halifax,NS,44.62611,-63.51944,19840301,16,18,16,16,15,14,15,14,13,14,16,15,15,16,16,15,16,15,15,14,16,17,17,16
O3,030115,Halifax,NS,44.62611,-63.51944,19840302,15,16,16,15,14,15,15,15,15,15,15,16,16,16,17,17,17,17,17,17,17,17,17,15
O3,030115,Halifax,NS,44.62611,-63.51944,19840303,15,12,9,12,14,14,16,16,16,18,18,18,18,17,17,19,19,19,18,15,13,11,9,12
O3,030115,Halifax,NS,44.62611,-63.51944,19840304,16,15,13,14,12,12,11,10,11,14,15,14,13,13,14,14,13,12,10,7,6,3,4,5
