Pollutant:, SO2
Units:, ppb
Data is hour ending local standard time.
Note:,Zeros are valid. -999 denotes no data available.

Pollutant,NAPSID,City,P/T,Latitude,Longitude,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
SO2,010102,St Johns,NL,47.56038,-52.7115,19970101,7.0,4.0,4.0,3.0,6.0,6.0,5.0,8.0,11.0,3.0,1.0,3.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19970102,1.0,0.0,0.0,2.0,1.0,0.0,3.0,4.0,14.0,6.0,5.0,11.0,12.0,8.0,5.0,4.0,3.0,5.0,3.0,2.0,5.0,3.0,5.0,1.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19970103,13.0,4.0,7.0,10.0,12.0,10.0,10.0,7.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,5.0,3.0,2.0,1.0,1.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19970104,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,6.0,7.0,6.0,5.0,6.0,1.0,0.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19970105,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,5.0,4.0,4.0,5.0,5.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19970106,2.0,4.0,7.0,5.0,7.0,8.0,10.0,50.0,14.0,5.0,3.0,3.0,3.0,5.0,4.0,1.0,1.0,0.0,2.0,6.0,2.0,2.0,0.0,0.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19970107,0.0,4.0,5.0,7.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0,11.0,4.0,5.0,10.0,15.0,16.0,32.0,22.0,25.0,29.0,21.0,17.0,15.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19970108,0.0,0.0,8.0,3.0,7.0,7.0,7.0,17.0,7.0,17.0,6.0,13.0,6.0,2.0,6.0,5.0,18.0,22.0,29.0,29.0,18.0,12.0,11.0,2.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19970109,2.0,14.0,15.0,5.0,5.0,2.0,5.0,3.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19970110,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,9.0,5.0,1.0,10.0,5.0,6.0,4.0,6.0,3.0,3.0,7.0,6.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19970111,2.0,2.0,2.0,1.0,0.0,1.0,7.0,10.0,13.0,3.0,3.0,4.0,5.0,5.0,18.0,20.0,11.0,19.0,18.0,7.0,2.0,2.0,2.0,4.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19970112,4.0,3.0,2.0,1.0,3.0,3.0,7.0,10.0,13.0,18.0,5.0,4.0,6.0,11.0,10.0,8.0,5.0,5.0,6.0,8.0,4.0,3.0,2.0,3.0
