File generated on // Fichier créé sur, 2023-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant // Polluant:, NOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units // Unités, ppb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note // Note,Data is hour ending local standard time // Données en heure normale locale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note // Note,Zeros are valid. -999 denotes no data available // Zéros sont valides .-999 Données non disponibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant//Polluant,NAPS ID//Identifiant SNPA,City//Ville,Province/Territory//Province/Territoire,Latitude//Latitude,Longitude//Longitude,Date//Date,H01//H01,H02//H02,H03//H03,H04//H04,H05//H05,H06//H06,H07//H07,H08//H08,H09//H09,H10//H10,H11//H11,H12//H12,H13//H13,H14//H14,H15//H15,H16//H16,H17//H17,H18//H18,H19//H19,H20//H20,H21//H21,H22//H22,H23//H23,H24//H24
NOX,10102,St. John's,NL,47.56038,-52.71147,1/1/2006,5,4,5,5,5,7,5,5,4,4,4,4,4,4,5,5,8,14,13,19,19,18,19,17
NOX,10102,St. John's,NL,47.56038,-52.71147,1/2/2006,15,17,15,13,14,13,13,9,10,11,7,5,6,6,6,6,6,5,6,5,6,6,5,5
NOX,10102,St. John's,NL,47.56038,-52.71147,1/3/2006,4,5,4,4,4,5,4,6,5,5,8,6,10,10,10,10,39,34,25,50,61,52,28,8
NOX,10102,St. John's,NL,47.56038,-52.71147,1/4/2006,7,3,5,6,8,6,26,50,81,84,63,39,34,30,26,20,68,92,82,93,95,28,6,6
NOX,10102,St. John's,NL,47.56038,-52.71147,1/5/2006,3,2,2,7,5,11,13,15,29,71,24,29,19,22,18,15,14,12,6,6,7,5,5,5
NOX,10102,St. John's,NL,47.56038,-52.71147,1/6/2006,4,4,4,4,5,7,5,10,15,11,13,18,21,25,22,28,36,22,15,18,10,9,12,14
NOX,10102,St. John's,NL,47.56038,-52.71147,1/7/2006,6,5,5,4,3,2,1,2,2,3,3,3,3,3,6,5,7,8,6,5,5,5,5,6
NOX,10102,St. John's,NL,47.56038,-52.71147,1/8/2006,6,6,6,7,7,5,7,4,4,4,6,6,6,7,7,6,8,7,8,10,20,13,10,7
NOX,10102,St. John's,NL,47.56038,-52.71147,1/9/2006,5,5,5,8,10,8,9,14,20,19,14,11,7,8,10,16,23,21,19,21,27,14,22,27
NOX,10102,St. John's,NL,47.56038,-52.71147,1/10/2006,20,24,21,8,1,2,4,11,11,11,7,7,9,9,8,8,8,7,8,5,4,5,6,4
NOX,10102,St. John's,NL,47.56038,-52.71147,1/11/2006,2,2,3,2,2,3,5,9,8,6,5,5,6,7,6,6,9,8,5,5,4,5,5,6
NOX,10102,St. John's,NL,47.56038,-52.71147,1/12/2006,10,12,10,14,7,6,9,22,29,27,20,19,15,22,18,14,11,9,6,4,3,3,4,3
NOX,10102,St. John's,NL,47.56038,-52.71147,1/13/2006,3,2,2,2,1,2,3,7,7,10,12,10,7,10,10,12,11,22,21,36,36,51,37,21
NOX,10102,St. John's,NL,47.56038,-52.71147,1/14/2006,9,16,9,6,6,6,3,4,4,5,5,4,5,5,8,9,13,16,6,5,4,3,5,4
NOX,10102,St. John's,NL,47.56038,-52.71147,1/15/2006,8,10,7,4,2,3,2,2,3,3,3,2,3,3,4,3,3,3,3,4,4,2,2,2
NOX,10102,St. John's,NL,47.56038,-52.71147,1/16/2006,2,2,1,1,1,1,2,4,7,7,6,7,6,10,7,11,9,8,7,5,3,3,3,2
NOX,10102,St. John's,NL,47.56038,-52.71147,1/17/2006,2,1,1,1,1,1,2,3,4,4,4,4,5,6,11,8,13,10,8,6,6,7,5,5
NOX,10102,St. John's,NL,47.56038,-52.71147,1/18/2006,5,4,5,5,2,4,4,10,12,9,17,51,7,7,11,16,27,22,20,23,37,16,5,5
NOX,10102,St. John's,NL,47.56038,-52.71147,1/19/2006,4,2,2,2,1,1,2,5,6,6,7,6,6,6,7,-999,8,7,6,6,5,6,5,5
NOX,10102,St. John's,NL,47.56038,-52.71147,1/20/2006,3,3,3,3,3,2,5,9,9,9,8,8,7,11,12,12,14,12,9,8,8,9,10,10
NOX,10102,St. John's,NL,47.56038,-52.71147,1/21/2006,10,8,11,15,16,10,20,19,31,43,52,10,9,10,11,22,21,22,26,17,12,11,5,5
NOX,10102,St. John's,NL,47.56038,-52.71147,1/22/2006,4,4,4,3,3,2,2,2,3,3,4,2,3,2,2,2,3,2,2,2,2,2,2,2
NOX,10102,St. John's,NL,47.56038,-52.71147,1/23/2006,1,1,1,1,1,1,2,3,4,3,3,4,4,4,4,4,4,4,3,3,5,5,5,4
NOX,10102,St. John's,NL,47.56038,-52.71147,1/24/2006,4,4,4,4,11,20,21,36,56,92,45,24,19,15,18,16,15,14,33,9,17,10,22,12
NOX,10102,St. John's,NL,47.56038,-52.71147,1/25/2006,16,5,8,5,5,2,5,19,25,37,27,20,14,24,24,20,29,15,8,12,5,6,4,4
NOX,10102,St. John's,NL,47.56038,-52.71147,1/26/2006,6,14,16,11,8,4,9,9,21,11,12,26,31,32,28,22,22,28,17,23,12,8,7,5
NOX,10102,St. John's,NL,47.56038,-52.71147,1/27/2006,4,4,4,3,2,5,7,7,9,8,7,8,8,9,10,10,10,11,10,10,6,12,10,8
NOX,10102,St. John's,NL,47.56038,-52.71147,1/28/2006,6,5,5,7,5,6,4,4,5,7,9,10,6,6,7,8,8,9,7,7,7,5,6,9
