File generated on // Fichier créé sur, 2023-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant // Polluant:, PM10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units // Unités,µg/m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note // Note,Data is hour ending local standard time // Données en heure normale locale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note // Note,Zeros are valid. -999 denotes no data available // Zéros sont valides .-999 Données non disponibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant//Polluant,NAPS ID//Identifiant SNPA,City//Ville,Province/Territory//Province/Territoire,Latitude//Latitude,Longitude//Longitude,Date//Date,H01//H01,H02//H02,H03//H03,H04//H04,H05//H05,H06//H06,H07//H07,H08//H08,H09//H09,H10//H10,H11//H11,H12//H12,H13//H13,H14//H14,H15//H15,H16//H16,H17//H17,H18//H18,H19//H19,H20//H20,H21//H21,H22//H22,H23//H23,H24//H24
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/1/2006,6,6,6,5,5,3,4,3,3,5,4,3,4,4,5,4,5,3,4,4,4,3,4,3
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/2/2006,4,4,3,3,2,3,4,4,5,5,7,8,8,9,10,9,7,9,10,8,10,9,9,9
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/3/2006,8,7,7,7,6,7,6,9,9,10,10,9,8,9,9,9,12,11,11,10,6,7,7,8
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/4/2006,9,7,6,5,7,8,4,5,7,6,6,9,7,7,9,10,11,8,8,8,8,11,7,5
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/5/2006,2,4,8,7,5,6,4,11,7,8,8,4,3,6,7,6,5,5,8,12,12,9,8,10
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/6/2006,5,5,5,3,2,2,4,11,6,8,7,8,8,12,9,8,7,6,8,8,5,6,7,7
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/7/2006,7,8,8,8,6,5,6,4,6,6,8,7,7,8,13,12,12,10,8,9,9,9,9,9
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/8/2006,8,8,7,8,7,10,11,8,10,12,10,10,12,6,6,6,8,7,5,5,5,5,4,3
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/9/2006,3,3,10,7,3,4,6,6,8,7,5,6,6,8,9,11,9,10,9,8,6,7,6,5
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/10/2006,4,4,4,4,4,4,4,4,7,8,9,10,12,14,12,18,17,12,12,12,9,6,7,8
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/11/2006,8,5,7,5,6,8,12,17,18,18,18,13,12,12,15,10,14,13,10,10,10,11,12,6
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/12/2006,8,7,10,6,8,9,6,5,6,6,6,6,5,8,7,9,11,11,8,13,12,12,12,8
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/13/2006,8,8,9,10,6,6,12,13,16,12,11,7,6,8,9,8,7,6,4,7,7,6,6,6
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/14/2006,6,5,6,4,5,3,4,6,6,6,6,5,5,7,10,9,6,6,6,6,6,5,6,6
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/15/2006,6,6,5,4,4,5,5,6,6,6,5,5,5,7,8,9,9,9,8,6,6,7,7,9
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/16/2006,9,9,11,10,9,9,11,6,4,4,5,7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/17/2006,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,4,5,7,6,8,10,7,8,5,4,4,5,4
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/18/2006,4,6,6,5,5,5,6,6,7,6,6,6,6,9,9,10,8,11,10,11,9,7,10,8
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/19/2006,8,7,9,8,7,8,8,8,10,11,13,12,15,15,14,14,17,21,16,9,6,6,9,11
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/20/2006,8,4,4,7,5,5,9,11,10,11,7,4,4,4,5,7,14,12,6,8,8,9,8,9
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/21/2006,6,6,6,6,7,7,7,9,8,8,7,6,6,7,6,5,5,4,3,6,5,2,2,3
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/22/2006,2,2,3,3,4,4,5,3,9,13,15,6,7,4,4,6,8,6,6,5,5,4,4,5
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/23/2006,5,6,6,5,3,4,5,5,10,7,5,4,7,6,10,11,8,7,11,6,5,6,5,6
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/24/2006,6,6,7,8,8,8,7,4,6,7,5,7,6,9,9,9,8,7,6,6,5,5,8,9
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/25/2006,11,8,7,6,10,21,27,14,9,7,7,5,6,4,4,6,6,6,6,7,6,4,6,6
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/26/2006,6,6,6,7,9,9,8,12,12,11,12,11,12,13,13,13,13,14,12,11,11,10,10,9
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/27/2006,7,6,7,5,5,8,9,15,19,13,16,17,12,12,14,14,14,12,11,9,9,9,7,6
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/28/2006,6,6,8,7,8,7,11,12,18,25,25,25,24,10,11,12,10,10,13,14,12,14,7,5
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/29/2006,4,5,5,5,4,4,6,6,6,5,7,6,6,7,7,7,7,7,6,7,7,6,6,5
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/30/2006,4,5,6,5,4,4,5,10,9,22,14,15,30,35,34,37,25,17,17,11,8,9,8,7
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/31/2006,5,4,3,4,4,3,3,5,6,8,7,8,9,9,10,12,12,12,9,11,15,29,12,5
PM10,70119,Winnipeg,MB,49.89799,-97.14653,2/1/2006,5,3,3,3,3,3,4,7,14,20,7,10,7,11,11,9,12,16,9,10,11,11,12,12
PM10,70119,Winnipeg,MB,49.89799,-97.14653,2/2/2006,11,11,8,7,6,6,6,7,11,18,8,5,4,5,7,6,6,6,6,6,6,6,6,6
PM10,70119,Winnipeg,MB,49.89799,-97.14653,2/3/2006,7,8,7,6,5,6,6,6,8,7,7,-999,-999,-999,9,11,12,9,11,10,11,15,14,12
PM10,70119,Winnipeg,MB,49.89799,-97.14653,2/4/2006,13,16,20,14,11,9,9,21,15,12,15,16,27,23,35,33,25,15,17,14,22,22,14,19
