File generated on // Fichier créé sur, 2023-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant // Polluant:, PM10_TEOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units // Unités, µg/m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note // Note,Data is hour ending local standard time // Données en heure normale locale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note // Note,Zeros are valid. -999 denotes no data available // Zéros sont valides .-999 Données non disponibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant//Polluant,NAPS ID//Identifiant SNPA,City//Ville,Province/Territory//Province/Territoire,Latitude//Latitude,Longitude//Longitude,Date//Date,H01//H01,H02//H02,H03//H03,H04//H04,H05//H05,H06//H06,H07//H07,H08//H08,H09//H09,H10//H10,H11//H11,H12//H12,H13//H13,H14//H14,H15//H15,H16//H16,H17//H17,H18//H18,H19//H19,H20//H20,H21//H21,H22//H22,H23//H23,H24//H24
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/1/2008,3,3,6,5,3,5,4,5,4,6,4,6,7,5,4,5,5,6,7,7,8,11,8,7
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/2/2008,7,6,5,3,3,3,3,6,8,11,-999,-999,-999,4,5,7,5,5,7,6,5,4,6,7
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/3/2008,6,7,9,8,8,8,8,9,9,8,9,8,10,8,10,11,9,9,8,8,8,7,7,7
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/4/2008,6,7,6,6,6,6,6,6,6,7,6,6,7,8,6,9,9,9,10,9,9,9,9,10
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/5/2008,10,8,10,9,8,9,9,8,7,9,9,8,7,6,7,9,10,8,9,8,10,8,9,8
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/6/2008,7,8,6,8,6,5,6,6,6,7,6,5,6,5,5,6,4,6,5,5,4,4,4,5
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/7/2008,4,4,5,4,4,5,6,7,7,8,10,6,7,6,7,9,10,12,14,10,10,18,18,32
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/8/2008,36,12,12,9,9,9,11,12,11,12,16,13,12,11,13,16,23,22,15,12,12,14,11,10
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/9/2008,10,9,8,10,9,10,11,13,10,9,12,11,10,10,12,9,11,11,10,9,7,7,8,7
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/10/2008,7,7,8,6,8,8,8,10,15,17,13,8,8,9,8,8,9,8,8,9,8,8,9,7
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/11/2008,7,7,8,8,7,7,10,12,14,13,10,9,9,10,9,9,8,8,6,7,6,5,6,5
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/12/2008,5,7,8,8,9,9,9,7,9,9,10,10,10,10,11,8,8,8,10,10,8,9,9,9
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/13/2008,8,9,9,5,4,4,5,7,9,8,7,7,7,7,10,10,13,11,16,12,10,13,13,12
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/14/2008,11,12,12,10,10,10,9,9,12,23,26,27,20,14,15,13,13,14,14,13,15,14,12,11
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/15/2008,11,10,10,10,9,8,7,6,8,9,8,13,10,10,12,12,13,13,13,13,13,13,14,14
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/16/2008,11,12,14,10,8,6,5,7,6,7,7,7,6,5,7,6,7,9,7,6,11,7,7,5
PM10,70119,Winnipeg,MB,49.89799,-97.14653,1/17/2008,5,6,6,6,4,5,8,9,11,10,10,11,12,12,14,10,7,4,5,4,5,5,5,4
