File generated on // Fichier créé sur ,23/09/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant // Polluant, PM10 // PM10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units // Unités,µg/m3 // µg/m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data is hour ending local standard time // Données en heure normale locale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note // Note,Zeros are valid. -999 denotes no data available. // Zéros sont valides .-999 Données non disponibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant // Polluant,NAPS ID // Identifiant SNPA,City // Ville,P/T // P/T,Latitude // Latitude,Longitude // Longitude,Date // Date,H01 // H01,H02 // H02,H03 // H03,H04 // H04,H05 // H05,H06 // H06,H07 // H07,H08 // H08,H09 // H09,H10 // H10,H11 // H11,H12 // H12,H13 // H13,H14 // H14,H15 // H15,H16 // H16,H17 // H17,H18 // H18,H19 // H19,H20 // H20,H21 // H21,H22 // H22,H23 // H23,H24 // H24
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160101,4,5,4,4,1,3,2,5,4,5,3,4,4,6,7,3,2,3,3,4,1,2,4,0
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160102,1,2,4,1,3,5,4,5,6,6,8,9,8,5,5,6,5,4,3,3,3,3,1,3
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160103,0,0,1,2,1,5,1,5,3,5,3,3,4,5,7,7,5,9,10,11,11,17,12,5
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160104,6,3,1,2,2,3,4,10,3,8,6,3,2,5,4,4,3,5,6,4,4,4,2,3
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160105,2,2,5,7,6,5,6,7,9,17,8,5,6,7,10,7,5,7,9,14,16,11,13,13
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160106,7,16,19,19,16,13,3,3,6,7,5,5,1,1,2,0,2,4,4,3,2,3,2,2
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160107,0,0,1,6,1,2,3,4,5,4,8,10,7,5,6,7,10,13,11,8,9,8,5,9
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160108,7,3,0,0,0,0,0,1,2,3,4,6,7,7,4,0,2,0,2,1,0,0,0,1
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160109,2,1,2,1,2,1,3,4,4,4,3,5,4,5,5,4,8,10,10,9,7,7,6,5
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160110,6,5,5,3,3,4,4,4,8,11,7,6,6,9,10,10,9,11,12,9,8,7,7,7
