File generated on // Fichier créé sur, 2023-02-13

Pollutant // Polluant:, PM10
Units // Unités, µg/m3
Note // Note,Data is hour ending local standard time // Données en heure normale locale
Note // Note,Zeros are valid. -999 denotes no data available // Zéros sont valides .-999 Données non disponibles

Pollutant//Polluant,NAPS ID//Identifiant SNPA,City//Ville,Province/Territory//Province/Territoire,Latitude//Latitude,Longitude//Longitude,Date//Date,H01//H01,H02//H02,H03//H03,H04//H04,H05//H05,H06//H06,H07//H07,H08//H08,H09//H09,H10//H10,H11//H11,H12//H12,H13//H13,H14//H14,H15//H15,H16//H16,H17//H17,H18//H18,H19//H19,H20//H20,H21//H21,H22//H22,H23//H23,H24//H24
PM10,100202,Prince George,BC,53.91472,-122.74194,2021-01-01,3,9,11,10,14,10,9,13,8,11,10,2,0,0,0,0,0,0,1,4,2,0,1,1
PM10,100202,Prince George,BC,53.91472,-122.74194,2021-01-02,10,3,1,1,0,4,0,0,0,1,0,0,0,2,3,4,2,5,7,10,3,1,5,0
PM10,100202,Prince George,BC,53.91472,-122.74194,2021-01-03,0,6,3,1,3,3,0,4,2,5,5,5,5,7,12,11,14,14,11,12,14,12,5,7
PM10,100202,Prince George,BC,53.91472,-122.74194,2021-01-04,12,8,7,11,8,16,28,35,31,13,9,5,4,6,13,15,15,18,17,13,18,15,14,7
PM10,100202,Prince George,BC,53.91472,-122.74194,2021-01-05,0,6,7,8,4,5,3,0,1,10,17,4,0,0,0,0,1,2,0,0,3,6,6,0
PM10,100202,Prince George,BC,53.91472,-122.74194,2021-01-06,6,7,3,1,5,6,1,5,6,5,3,4,4,5,0,7,4,10,12,10,10,12,12,12
PM10,100202,Prince George,BC,53.91472,-122.74194,2021-01-07,22,16,15,12,10,7,8,8,14,25,28,25,17,2,0,3,4,5,4,8,13,17,24,23
PM10,100202,Prince George,BC,53.91472,-122.74194,2021-01-08,24,34,28,26,20,21,22,13,23,25,28,18,17,13,19,26,24,19,17,10,14,21,23,21
PM10,100202,Prince George,BC,53.91472,-122.74194,2021-01-09,17,10,14,18,20,16,20,19,21,22,29,37,28,22,20,18,18,20,13,10,10,10,0,0
PM10,100202,Prince George,BC,53.91472,-122.74194,2021-01-10,0,5,3,0,0,1,6,4,0,3,6,3,0,0,2,6,5,3,0,0,1,2,2,0
PM10,100202,Prince George,BC,53.91472,-122.74194,2021-01-11,0,-999,0,0,0,0,0,5,4,5,2,7,1,1,8,5,3,5,12,12,17,16,21,18
PM10,100202,Prince George,BC,53.91472,-122.74194,2021-01-12,22,13,20,21,1,0,0,0,3,3,1,3,5,4,3,6,8,6,8,11,1,6,5,8
PM10,100202,Prince George,BC,53.91472,-122.74194,2021-01-13,16,10,5,3,2,2,2,6,5,9,8,10,12,6,11,15,17,27,29,17,8,8,3,6
PM10,100202,Prince George,BC,53.91472,-122.74194,2021-01-14,11,11,10,4,8,10,12,27,21,18,25,41,28,42,45,42,40,31,29,23,24,6,8,8
PM10,100202,Prince George,BC,53.91472,-122.74194,2021-01-15,5,9,12,13,6,0,5,8,11,8,11,12,15,19,18,14,16,13,9,13,13,12,13,13
PM10,100202,Prince George,BC,53.91472,-122.74194,2021-01-16,15,12,10,4,2,6,4,6,8,15,14,16,7,4,0,4,3,3,0,7,1,2,2,1
PM10,100202,Prince George,BC,53.91472,-122.74194,2021-01-17,3,0,4,6,1,6,7,3,3,4,3,2,0,4,5,5,0,4,4,5,3,0,5,2
PM10,100202,Prince George,BC,53.91472,-122.74194,2021-01-18,9,9,4,0,5,4,6,6,8,11,18,18,18,7,5,3,2,5,12,12,12,14,14,7
PM10,100202,Prince George,BC,53.91472,-122.74194,2021-01-19,0,0,0,4,3,2,1,1,3,2,2,4,7,9,18,7,7,5,7,1,2,7,2,2
PM10,100202,Prince George,BC,53.91472,-122.74194,2021-01-20,0,0,4,3,0,0,5,0,6,9,8,19,22,23,20,22,22,32,40,50,35,31,30,29
PM10,100202,Prince George,BC,53.91472,-122.74194,2021-01-21,31,26,27,40,29,19,18,13,11,9,18,20,39,32,35,51,54,35,23,26,31,30,25,16
PM10,100202,Prince George,BC,53.91472,-122.74194,2021-01-22,12,13,4,11,10,9,9,10,11,10,7,12,12,10,8,11,16,18,26,18,10,8,6,2
PM10,100202,Prince George,BC,53.91472,-122.74194,2021-01-23,0,0,3,8,9,11,12,6,10,9,7,11,9,7,14,3,8,6,5,8,7,3,5,5
